字典值,字典名称,字典中文名称,字典英文名称,字典枚举描述,父级字典值,类型代码,类型名称,是否有效,数据来源 0：新系统 1：老系统,导入时间
201011,水电厂/循环电厂(单机组功率=<150MW) 水渍风险低  火,,,水电厂/循环电厂(单机组功率=<150MW) 水渍风险低  火,,plp_reinsurance_risk_level_cd,再保风险等级,1,0,2024/04/30 09:43:00
201012,水电厂/循环电厂(单机组功率=<150MW) 水渍风险高  火,,,水电厂/循环电厂(单机组功率=<150MW) 水渍风险高  火,,plp_reinsurance_risk_level_cd,再保风险等级,1,0,2024/04/30 09:43:00
201013,石化厂/半导体(LCD/TFT)厂/地下采矿业/循环电厂(单机,,,石化厂/半导体(LCD/TFT)厂/地下采矿业/循环电厂(单机,,plp_reinsurance_risk_level_cd,再保风险等级,1,0,2024/04/30 09:43:00
201014,石化厂/半导体(LCD/TFT)厂/地下采矿业/循环电厂(单机,,,石化厂/半导体(LCD/TFT)厂/地下采矿业/循环电厂(单机,,plp_reinsurance_risk_level_cd,再保风险等级,1,0,2024/04/30 09:43:00
201015,石化厂/半导体(LCD/TFT)厂/地下采矿业/循环电厂(单机,,,石化厂/半导体(LCD/TFT)厂/地下采矿业/循环电厂(单机,,plp_reinsurance_risk_level_cd,再保风险等级,1,0,2024/04/30 09:43:00
201016,石化厂/半导体(LCD/TFT)厂/地下采矿业/循环电厂(单机,,,石化厂/半导体(LCD/TFT)厂/地下采矿业/循环电厂(单机,,plp_reinsurance_risk_level_cd,再保风险等级,1,0,2024/04/30 09:43:00
201017,火/风力电厂   水渍风险低     火灾风险低,,,火/风力电厂   水渍风险低     火灾风险低,,plp_reinsurance_risk_level_cd,再保风险等级,1,0,2024/04/30 09:43:00
201018,火/风力电厂   水渍风险高     火灾风险高,,,火/风力电厂   水渍风险高     火灾风险高,,plp_reinsurance_risk_level_cd,再保风险等级,1,0,2024/04/30 09:43:00
201019,火/风力电厂   水渍风险低     火灾风险高,,,火/风力电厂   水渍风险低     火灾风险高,,plp_reinsurance_risk_level_cd,再保风险等级,1,0,2024/04/30 09:43:00
201020,火/风力电厂   水渍风险高     火灾风险低,,,火/风力电厂   水渍风险高     火灾风险低,,plp_reinsurance_risk_level_cd,再保风险等级,1,0,2024/04/30 09:43:00
201021,一般机器设备   使用年限8年以下    部件可替换性好,,,一般机器设备   使用年限8年以下    部件可替换性好,,plp_reinsurance_risk_level_cd,再保风险等级,1,0,2024/04/30 09:43:00
201022,一般机器设备   使用年限8年以上    部件可替换性差,,,一般机器设备   使用年限8年以上    部件可替换性差,,plp_reinsurance_risk_level_cd,再保风险等级,1,0,2024/04/30 09:43:00
201023,一般机器设备   使用年限8年以下    部件可替换性差,,,一般机器设备   使用年限8年以下    部件可替换性差,,plp_reinsurance_risk_level_cd,再保风险等级,1,0,2024/04/30 09:43:00
201024,一般机器设备   使用年限8年以上    部件可替换性好,,,一般机器设备   使用年限8年以上    部件可替换性好,,plp_reinsurance_risk_level_cd,再保风险等级,1,0,2024/04/30 09:43:00
201025,电厂/循环电厂(单机组功率=<150MW)/化工厂      使用,,,电厂/循环电厂(单机组功率=<150MW)/化工厂      使用,,plp_reinsurance_risk_level_cd,再保风险等级,1,0,2024/04/30 09:43:00
201026,电厂/循环电厂(单机组功率=<150MW)/化工厂      使用,,,电厂/循环电厂(单机组功率=<150MW)/化工厂      使用,,plp_reinsurance_risk_level_cd,再保风险等级,1,0,2024/04/30 09:43:00
201027,电厂/循环电厂(单机组功率=<150MW)/化工厂      使用,,,电厂/循环电厂(单机组功率=<150MW)/化工厂      使用,,plp_reinsurance_risk_level_cd,再保风险等级,1,0,2024/04/30 09:43:00
201028,电厂/循环电厂(单机组功率=<150MW)/化工厂      使用,,,电厂/循环电厂(单机组功率=<150MW)/化工厂      使用,,plp_reinsurance_risk_level_cd,再保风险等级,1,0,2024/04/30 09:43:00
201029,水电厂     使用年限8年以下   部件可替换性好,,,水电厂     使用年限8年以下   部件可替换性好,,plp_reinsurance_risk_level_cd,再保风险等级,1,0,2024/04/30 09:43:00
10440,(出口美国、加拿大地区)、高风险(钢混) ,,,(出口美国、加拿大地区)、高风险(钢混) ,,plp_reinsurance_risk_level_cd,再保风险等级,1,0,2024/04/30 09:43:00
10441,(出口美国、加拿大地区)、高风险(砖混) ,,,(出口美国、加拿大地区)、高风险(砖混) ,,plp_reinsurance_risk_level_cd,再保风险等级,1,0,2024/04/30 09:43:00
10442,(出口美国、加拿大地区)、高风险(高空、地下、临水) ,,,(出口美国、加拿大地区)、高风险(高空、地下、临水) ,,plp_reinsurance_risk_level_cd,再保风险等级,1,0,2024/04/30 09:43:00
10511,一般风险(优),,,一般风险(优),,plp_reinsurance_risk_level_cd,再保风险等级,1,0,2024/04/30 09:43:00
10512,一般风险(良),,,一般风险(良),,plp_reinsurance_risk_level_cd,再保风险等级,1,0,2024/04/30 09:43:00
10513,一般风险(一般),,,一般风险(一般),,plp_reinsurance_risk_level_cd,再保风险等级,1,0,2024/04/30 09:43:00
10521,危险(优),,,危险(优),,plp_reinsurance_risk_level_cd,再保风险等级,1,0,2024/04/30 09:43:00
10522,危险(良),,,危险(良),,plp_reinsurance_risk_level_cd,再保风险等级,1,0,2024/04/30 09:43:00
10523,危险(一般),,,危险(一般),,plp_reinsurance_risk_level_cd,再保风险等级,1,0,2024/04/30 09:43:00
10531,高风险(优),,,高风险(优),,plp_reinsurance_risk_level_cd,再保风险等级,1,0,2024/04/30 09:43:00
10532,高风险(良),,,高风险(良),,plp_reinsurance_risk_level_cd,再保风险等级,1,0,2024/04/30 09:43:00
10533,高风险(一般),,,高风险(一般),,plp_reinsurance_risk_level_cd,再保风险等级,1,0,2024/04/30 09:43:00
10712,危险(易燃),,,危险(易燃),,plp_reinsurance_risk_level_cd,再保风险等级,1,0,2024/04/30 09:43:00
10713,危险(极易燃),,,危险(极易燃),,plp_reinsurance_risk_level_cd,再保风险等级,1,0,2024/04/30 09:43:00
10722,高风险(易燃),,,高风险(易燃),,plp_reinsurance_risk_level_cd,再保风险等级,1,0,2024/04/30 09:43:00
10723,高风险(极易燃),,,高风险(极易燃),,plp_reinsurance_risk_level_cd,再保风险等级,1,0,2024/04/30 09:43:00
10730,飞机保险通用风险代码,,,飞机保险通用风险代码,,plp_reinsurance_risk_level_cd,再保风险等级,1,0,2024/04/30 09:43:00
10731,5年以下（200万元以下）,,,5年以下（200万元以下）,,plp_reinsurance_risk_level_cd,再保风险等级,1,0,2024/04/30 09:43:00
10732,5-10年（200万元以下）,,,5-10年（200万元以下）,,plp_reinsurance_risk_level_cd,再保风险等级,1,0,2024/04/30 09:43:00
10733,10年以上（200万元以下）,,,10年以上（200万元以下）,,plp_reinsurance_risk_level_cd,再保风险等级,1,0,2024/04/30 09:43:00
10734,5年以下（200-500万元）,,,5年以下（200-500万元）,,plp_reinsurance_risk_level_cd,再保风险等级,1,0,2024/04/30 09:43:00
10735,5-10年（200-500万元）,,,5-10年（200-500万元）,,plp_reinsurance_risk_level_cd,再保风险等级,1,0,2024/04/30 09:43:00
10736,10年以上（200-500万元）,,,10年以上（200-500万元）,,plp_reinsurance_risk_level_cd,再保风险等级,1,0,2024/04/30 09:43:00
10737,5年以下（500万元以上）,,,5年以下（500万元以上）,,plp_reinsurance_risk_level_cd,再保风险等级,1,0,2024/04/30 09:43:00
10738,5-10年（500万元以上）,,,5-10年（500万元以上）,,plp_reinsurance_risk_level_cd,再保风险等级,1,0,2024/04/30 09:43:00
10800,家财险通用风险代码,,,家财险通用风险代码,,plp_reinsurance_risk_level_cd,再保风险等级,1,0,2024/04/30 09:43:00
211066,船龄20年以下，航区长江航段，自重300T以下,,,船龄20年以下，航区长江航段，自重300T以下,,plp_reinsurance_risk_level_cd,再保风险等级,1,0,2024/04/30 09:43:00
211006,船龄20-25年，航区为远洋，自重300T以下,,,船龄20-25年，航区为远洋，自重300T以下,,plp_reinsurance_risk_level_cd,再保风险等级,1,0,2024/04/30 09:43:00
211007,船龄20-25年，航区为内河/沿海/中/日/韩/马六甲海峡以,,,船龄20-25年，航区为内河/沿海/中/日/韩/马六甲海峡以,,plp_reinsurance_risk_level_cd,再保风险等级,1,0,2024/04/30 09:43:00
211008,船龄20-25年，航区为远洋，自重300T以上,,,船龄20-25年，航区为远洋，自重300T以上,,plp_reinsurance_risk_level_cd,再保风险等级,1,0,2024/04/30 09:43:00
211009,船龄25年以上，航区为内河/沿海/中/日/韩/马六甲海峡,,,船龄25年以上，航区为内河/沿海/中/日/韩/马六甲海峡,,plp_reinsurance_risk_level_cd,再保风险等级,1,0,2024/04/30 09:43:00
211010,船龄25年以上，航区为远洋，自重300T以下,,,船龄25年以上，航区为远洋，自重300T以下,,plp_reinsurance_risk_level_cd,再保风险等级,1,0,2024/04/30 09:43:00
211011,船龄25年以上，航区为内河/沿海/中/日/韩/马六甲海峡,,,船龄25年以上，航区为内河/沿海/中/日/韩/马六甲海峡,,plp_reinsurance_risk_level_cd,再保风险等级,1,0,2024/04/30 09:43:00
211012,船龄25年以上，航区为远洋，自重300T以上,,,船龄25年以上，航区为远洋，自重300T以上,,plp_reinsurance_risk_level_cd,再保风险等级,1,0,2024/04/30 09:43:00
211013,船龄25年以上，航区为内河，自重300T以上,,,船龄25年以上，航区为内河，自重300T以上,,plp_reinsurance_risk_level_cd,再保风险等级,1,0,2024/04/30 09:43:00
211014,船龄25年以上，航区为沿海/中/日/韩，自重300T以上,,,船龄25年以上，航区为沿海/中/日/韩，自重300T以上,,plp_reinsurance_risk_level_cd,再保风险等级,1,0,2024/04/30 09:43:00
211015,船龄25年以上，航区为远洋，自重300T以下,,,船龄25年以上，航区为远洋，自重300T以下,,plp_reinsurance_risk_level_cd,再保风险等级,1,0,2024/04/30 09:43:00
211016,船龄25年以上，航区为内河，自重300T以下,,,船龄25年以上，航区为内河，自重300T以下,,plp_reinsurance_risk_level_cd,再保风险等级,1,0,2024/04/30 09:43:00
211017,船龄25年以上，航区为沿海/中/日/韩，自重300T以下,,,船龄25年以上，航区为沿海/中/日/韩，自重300T以下,,plp_reinsurance_risk_level_cd,再保风险等级,1,0,2024/04/30 09:43:00
211018,船龄25年以上，航区为远洋，自重300T以上,,,船龄25年以上，航区为远洋，自重300T以上,,plp_reinsurance_risk_level_cd,再保风险等级,1,0,2024/04/30 09:43:00
211051,机动船,,,机动船,,plp_reinsurance_risk_level_cd,再保风险等级,1,0,2024/04/30 09:43:00
211052,非机动船,,,非机动船,,plp_reinsurance_risk_level_cd,再保风险等级,1,0,2024/04/30 09:43:00
211053,客滚船,,,客滚船,,plp_reinsurance_risk_level_cd,再保风险等级,1,0,2024/04/30 09:43:00
211055,集装箱船,,,集装箱船,,plp_reinsurance_risk_level_cd,再保风险等级,1,0,2024/04/30 09:43:00
211056,油船,,,油船,,plp_reinsurance_risk_level_cd,再保风险等级,1,0,2024/04/30 09:43:00
211057,化学品船,,,化学品船,,plp_reinsurance_risk_level_cd,再保风险等级,1,0,2024/04/30 09:43:00
211058,液化气船,,,液化气船,,plp_reinsurance_risk_level_cd,再保风险等级,1,0,2024/04/30 09:43:00
211059,客船,,,客船,,plp_reinsurance_risk_level_cd,再保风险等级,1,0,2024/04/30 09:43:00
211060,拖轮,,,拖轮,,plp_reinsurance_risk_level_cd,再保风险等级,1,0,2024/04/30 09:43:00
211061,挖泥船,,,挖泥船,,plp_reinsurance_risk_level_cd,再保风险等级,1,0,2024/04/30 09:43:00
211062,散货船,,,散货船,,plp_reinsurance_risk_level_cd,再保风险等级,1,0,2024/04/30 09:43:00
211063,杂货船,,,杂货船,,plp_reinsurance_risk_level_cd,再保风险等级,1,0,2024/04/30 09:43:00
211064,高速快船,,,高速快船,,plp_reinsurance_risk_level_cd,再保风险等级,1,0,2024/04/30 09:43:00
211065,石油钻井平台,,,石油钻井平台,,plp_reinsurance_risk_level_cd,再保风险等级,1,0,2024/04/30 09:43:00
211099,其他,,,其他,,plp_reinsurance_risk_level_cd,再保风险等级,1,0,2024/04/30 09:43:00
211054,滚装船,,,滚装船,,plp_reinsurance_risk_level_cd,再保风险等级,1,0,2024/04/30 09:43:00
201030,水电厂     使用年限8年以上   部件可替换性差,,,水电厂     使用年限8年以上   部件可替换性差,,plp_reinsurance_risk_level_cd,再保风险等级,1,0,2024/04/30 09:43:00
201031,水电厂     使用年限8年以下   部件可替换性差,,,水电厂     使用年限8年以下   部件可替换性差,,plp_reinsurance_risk_level_cd,再保风险等级,1,0,2024/04/30 09:43:00
201032,水电厂     使用年限8年以上   部件可替换性好,,,水电厂     使用年限8年以上   部件可替换性好,,plp_reinsurance_risk_level_cd,再保风险等级,1,0,2024/04/30 09:43:00
201033,半导体(LCD/TFT)厂/石化厂/采掘业/循环电厂(单机组功,,,半导体(LCD/TFT)厂/石化厂/采掘业/循环电厂(单机组功,,plp_reinsurance_risk_level_cd,再保风险等级,1,0,2024/04/30 09:43:00
201034,半导体(LCD/TFT)厂/石化厂/采掘业/循环电厂(单机组功,,,半导体(LCD/TFT)厂/石化厂/采掘业/循环电厂(单机组功,,plp_reinsurance_risk_level_cd,再保风险等级,1,0,2024/04/30 09:43:00
201035,半导体(LCD/TFT)厂/石化厂/采掘业/循环电厂(单机组功,,,半导体(LCD/TFT)厂/石化厂/采掘业/循环电厂(单机组功,,plp_reinsurance_risk_level_cd,再保风险等级,1,0,2024/04/30 09:43:00
201036,半导体(LCD/TFT)厂/石化厂/采掘业/循环电厂(单机组功,,,半导体(LCD/TFT)厂/石化厂/采掘业/循环电厂(单机组功,,plp_reinsurance_risk_level_cd,再保风险等级,1,0,2024/04/30 09:43:00
202001,"自重5000T以上,船龄25年以下,劳合社100A1级或同级蒸汽",,,"自重5000T以上,船龄25年以下,劳合社100A1级或同级蒸汽",,plp_reinsurance_risk_level_cd,再保风险等级,1,0,2024/04/30 09:43:00
202002,"自重5000吨以上，船龄25年以下,无船级的蒸汽动力、内",,,"自重5000吨以上，船龄25年以下,无船级的蒸汽动力、内",,plp_reinsurance_risk_level_cd,再保风险等级,1,0,2024/04/30 09:43:00
202003,自重5000吨以下、船龄25年以上的蒸汽动力、内燃动力船,,,自重5000吨以下、船龄25年以上的蒸汽动力、内燃动力船,,plp_reinsurance_risk_level_cd,再保风险等级,1,0,2024/04/30 09:43:00
202004,内河蒸汽动力船,,,内河蒸汽动力船,,plp_reinsurance_risk_level_cd,再保风险等级,1,0,2024/04/30 09:43:00
